Publication_id;Category_id;Tag_id;Author_id;Date;Views
64;3;23;11;4.25.2021;47046
65;2;9;9;12.30.2022;23889
66;1;19;2;8.20.2023;8679
67;1;19;10;1.30.2021;29204
68;1;14;5;11.2.2021;40759
69;3;12;8;4.5.2022;36828
70;1;11;2;12.5.2021;31851
71;3;16;10;10.20.2022;39263
72;3;11;6;11.26.2022;42653
73;2;1;7;9.24.2023;17313
74;2;15;5;7.24.2023;43805
75;3;17;10;5.22.2022;13287
76;2;2;1;12.6.2021;10774
77;1;4;1;10.1.2022;17185
78;1;5;4;4.8.2021;36757
79;1;1;1;9.16.2021;24755
80;2;20;5;2.17.2022;42979
81;3;5;10;1.4.2023;40881
82;2;15;2;5.2.2023;14022
83;2;19;1;3.3.2022;31570
84;1;7;9;12.22.2022;29722
85;2;2;5;12.10.2023;16013
86;2;18;1;1.3.2023;46008
87;1;19;9;10.21.2023;17468
88;1;13;2;11.30.2023;47781
89;2;6;6;9.17.2021;36085
90;1;2;11;8.9.2022;8435
91;2;13;6;1.31.2021;29541
92;2;20;2;7.27.2022;11484
93;1;8;9;10.13.2021;24077
94;3;6;9;11.19.2023;48895
95;2;20;4;3.12.2023;23921
96;1;1;1;10.9.2023;26899
97;3;5;7;10.27.2022;26697
98;1;4;8;2.10.2023;41255
99;2;18;9;10.17.2022;48026
100;1;13;1;7.30.2021;32206
101;2;3;7;3.17.2023;23431
102;1;10;8;3.6.2023;25588
103;3;19;3;12.27.2022;45245
104;1;23;7;11.30.2022;30247
105;1;18;6;5.13.2021;41881
106;1;21;9;8.13.2023;30707
107;1;1;8;3.17.2023;18074
108;3;9;1;10.11.2023;19206
109;3;11;5;3.14.2023;47396
110;2;16;10;4.2.2022;45692
111;3;15;5;9.26.2023;39611
112;2;17;2;7.13.2023;31008
113;3;9;4;1.2.2021;27374
114;1;23;3;6.28.2021;14833
115;3;14;3;9.10.2022;21290
116;3;22;4;1.17.2023;22037
117;1;12;7;1.30.2022;36981
118;1;19;3;1.11.2022;29221
119;1;8;4;2.16.2021;17134
120;3;14;8;4.5.2023;43933
121;1;10;7;2.23.2021;9538
122;3;20;11;10.5.2022;45767
123;2;8;3;12.10.2021;49019
124;1;9;8;3.16.2021;14731
125;2;20;6;10.30.2023;9581
126;1;3;8;7.4.2022;42498
127;2;10;11;6.6.2021;9686
128;2;18;3;7.21.2023;46869
129;1;15;9;12.23.2023;10788
130;3;4;5;5.17.2023;25184
131;3;6;8;11.26.2023;28973
132;1;2;2;8.10.2022;17076
133;2;17;4;6.29.2022;21945
134;1;15;4;11.19.2022;19227
135;1;12;1;3.10.2023;23626
136;2;10;10;5.9.2023;47056
137;1;12;3;12.12.2023;23276
138;3;5;3;12.12.2023;15443
139;1;11;10;9.18.2023;41751
140;2;5;10;5.22.2022;30328
141;1;11;1;6.7.2022;16247
142;2;8;4;10.13.2021;28143
143;1;10;4;3.5.2023;27518
144;2;13;9;7.16.2021;18642
145;3;10;2;6.23.2023;39580
146;3;11;9;1.30.2023;48218
147;1;10;3;3.3.2022;31513
148;3;14;1;7.26.2021;33656
149;1;4;2;10.9.2022;35538
150;2;17;6;6.14.2022;49740
151;2;22;5;2.19.2023;34085
152;1;19;7;11.13.2023;21195
153;2;11;4;11.1.2022;11305
154;1;16;1;5.18.2023;20711
155;1;18;11;1.21.2022;25667
156;3;4;8;10.30.2022;44815
157;2;11;11;11.16.2023;25834
158;2;4;5;8.1.2023;15147
159;1;18;10;2.3.2021;34819
160;2;16;9;8.8.2022;25666
161;1;10;3;2.26.2023;11402
162;1;21;11;3.31.2023;39051
163;2;11;1;7.15.2021;42939
164;2;7;7;11.11.2021;16051
165;3;13;11;5.5.2023;46103
166;2;17;9;11.7.2022;45710
167;3;13;10;6.21.2023;48336
168;1;13;4;2.16.2023;40586
169;1;20;9;11.9.2023;13878
170;1;6;8;12.21.2022;29846
171;2;18;1;4.25.2023;8093
172;2;3;6;5.30.2021;8820
173;1;2;1;5.5.2023;41765
174;1;11;9;8.22.2022;29362
175;2;22;4;8.5.2022;20466
176;2;9;5;2.22.2021;39486
177;2;1;4;10.5.2022;29584
178;3;12;3;11.7.2022;48748
179;3;3;8;7.28.2022;27219
180;2;7;8;5.8.2021;27339
181;3;12;11;6.6.2021;29278
182;2;7;10;11.12.2023;44510
183;3;22;4;12.27.2023;19438
184;1;13;11;10.13.2022;16508
185;1;4;5;9.28.2022;24107
186;1;5;9;4.1.2022;12952
187;2;12;7;3.7.2021;47365
188;2;12;11;12.9.2021;42679
189;3;7;2;10.19.2022;35864
190;3;14;8;6.13.2022;15733
191;2;19;9;3.25.2023;25796
192;2;16;4;10.26.2023;15601
193;2;14;1;4.13.2023;39317
194;2;12;3;3.3.2022;36844
195;3;21;1;3.11.2022;13853
196;2;19;6;8.31.2021;42341
197;3;11;2;8.2.2022;37171
198;3;6;7;6.27.2022;13075
199;1;11;2;7.11.2023;43825
200;2;10;9;12.7.2022;44258
201;2;9;11;3.8.2022;26984
202;2;11;10;7.6.2022;9809
203;3;1;3;5.21.2022;21878
204;1;14;3;12.27.2023;48163
205;2;18;11;6.8.2021;8485
206;3;6;10;2.9.2023;22327
207;3;11;10;10.5.2023;36216
208;2;5;10;6.19.2023;31573
209;3;14;3;2.21.2023;47481
210;1;19;1;4.5.2023;23346
211;3;15;8;3.29.2021;12739
212;1;13;5;1.15.2022;27685
213;1;20;4;9.28.2023;26941
214;3;9;7;11.14.2021;44999
215;2;4;11;12.22.2021;48294
216;2;19;11;4.11.2021;22507
217;2;18;1;7.25.2023;28321
218;1;15;8;1.21.2022;46685
219;3;13;2;4.30.2023;39351
220;2;7;6;4.19.2022;28828
221;3;12;7;3.26.2023;34029
222;2;15;1;8.26.2021;12447
223;2;9;2;6.14.2022;43343
224;1;19;10;4.2.2021;44772
225;1;22;6;9.19.2023;47511
226;2;4;10;1.8.2022;35099
227;2;4;6;6.15.2023;44135
228;1;13;2;1.12.2022;14358
229;2;17;10;9.20.2021;10098
230;3;20;9;12.4.2022;10530
231;3;11;5;8.10.2022;23013
232;3;23;3;2.5.2023;40103
233;1;10;6;8.24.2023;12150
234;2;14;11;11.23.2023;12681
235;1;10;2;2.12.2021;13312
236;1;23;8;6.4.2022;42634
237;1;1;4;12.13.2023;10225
238;1;23;6;10.12.2021;41281
239;2;3;1;2.14.2023;14801
240;3;13;4;9.3.2021;46477
241;2;17;5;9.7.2023;7685
242;1;21;1;9.8.2022;38455
243;3;18;1;7.15.2023;47039
244;3;1;10;1.30.2023;34539
245;2;1;6;10.13.2022;21246
246;2;15;10;3.4.2023;22621
247;1;5;5;4.20.2023;33761
248;3;1;8;6.22.2022;16963
249;1;5;10;1.4.2023;47501
250;3;16;10;11.15.2022;12765
251;1;21;5;5.15.2022;11882
252;3;19;9;5.21.2023;7941
253;3;14;7;11.30.2023;32824
254;3;8;1;2.12.2021;26707
255;1;23;5;8.2.2021;28055
256;2;10;5;5.19.2022;28458
257;1;15;6;11.7.2023;10764
258;2;3;11;1.8.2021;37931
259;2;23;8;1.21.2022;47453
260;3;7;9;10.13.2022;23350
261;1;22;11;10.28.2021;33388
262;2;9;9;4.26.2022;20226
263;2;11;3;9.18.2022;35220
264;2;22;2;5.31.2023;43995
265;1;17;6;6.12.2023;27412
266;3;21;8;2.27.2021;48084
267;2;18;4;6.29.2023;8785
268;2;15;8;12.26.2022;9073
269;2;23;6;6.17.2023;20615
270;1;8;7;12.13.2023;16211
271;3;7;9;8.1.2023;29066
272;2;10;1;1.19.2021;39738
273;3;11;5;11.6.2022;40924
274;2;14;6;10.30.2022;46401
275;3;20;5;11.10.2022;14594
276;1;19;3;11.5.2023;43273
277;1;18;10;11.24.2021;20786
278;1;19;8;8.25.2022;46369
279;3;10;11;7.28.2021;21346
280;3;1;3;10.27.2021;12104
281;1;11;10;3.17.2022;41808
282;1;20;9;6.11.2023;12671
283;1;18;2;7.24.2021;26984
284;3;2;6;4.19.2023;19730
285;3;10;7;2.5.2022;38390
286;3;19;3;4.6.2022;9322
287;2;12;11;11.18.2022;18803
288;1;14;7;7.16.2022;19202
289;1;12;2;12.27.2023;36564
290;2;6;10;2.21.2022;31071
291;2;21;10;9.7.2023;10264
292;3;14;7;8.23.2023;36964
293;3;20;3;7.1.2021;38293
294;3;6;2;5.9.2021;13339
295;1;2;7;1.28.2021;28447
296;1;8;1;9.24.2022;29020
297;1;12;1;4.21.2021;22587
298;1;14;9;7.26.2021;15465
299;3;8;11;9.7.2023;49648
300;3;21;6;11.14.2022;23185
301;2;3;8;11.28.2023;38970
302;1;3;7;6.3.2022;10007
303;3;4;10;3.15.2023;36523
304;3;9;3;1.23.2021;45152
305;3;12;11;11.30.2023;49244
306;3;11;9;4.9.2021;45498
307;3;5;3;5.31.2023;19314
308;3;11;8;2.20.2022;49974
309;1;15;10;8.23.2023;16952
310;3;6;11;3.5.2023;12961
311;1;20;6;1.21.2022;19704
312;2;23;10;7.23.2023;33616
313;1;10;4;11.22.2022;25962
314;3;7;6;6.6.2022;31503
315;3;23;2;1.24.2022;10915
316;2;23;10;9.19.2023;46319
317;1;4;3;5.17.2022;23585
318;2;8;5;6.22.2022;27630
319;3;3;8;7.1.2022;47770
320;2;14;7;12.24.2023;32009
321;1;14;8;5.12.2023;34462
322;2;9;9;12.6.2023;35585
323;1;13;7;5.16.2023;13771
324;1;22;3;7.7.2023;47098
325;1;17;10;5.20.2023;40424
326;1;4;2;8.20.2021;33302
327;3;9;1;7.1.2021;42712
328;1;11;8;6.9.2022;26127
329;3;6;1;12.3.2023;15557
330;3;13;9;5.2.2022;11517
331;1;19;10;9.10.2021;49210
332;1;20;2;9.24.2022;17172
333;1;20;11;7.25.2023;44566
334;1;17;9;11.17.2022;9983
335;3;14;4;4.18.2022;46797
336;2;1;4;11.3.2021;18048
337;2;9;7;1.14.2021;49777
338;1;23;9;2.20.2021;19217
339;2;7;1;7.16.2022;12298
340;3;3;9;10.15.2022;19196
341;2;20;3;11.24.2022;44895
342;2;1;5;4.9.2023;28866
343;3;11;6;12.28.2021;23861
344;1;13;1;4.10.2023;40444
345;2;8;8;3.29.2021;31783
346;3;20;4;2.7.2021;49091
347;2;21;9;3.24.2023;13447
348;3;5;3;11.28.2021;42098
349;1;7;9;11.21.2023;31839
350;1;3;11;6.15.2023;25311
351;2;22;8;8.22.2023;31008
352;3;4;10;11.14.2021;46671
353;3;2;2;2.12.2021;27093
354;2;2;11;9.27.2021;42317
355;2;9;2;9.7.2021;37593
356;3;2;2;12.11.2021;13819
357;2;12;11;5.17.2023;34428
358;3;15;6;5.26.2021;30507
359;1;21;5;11.9.2022;48573
360;2;19;9;12.3.2022;13029
361;3;1;5;5.27.2022;18113
362;3;1;5;9.13.2022;22675
363;3;23;5;8.1.2021;19374
364;2;8;8;6.18.2022;14111
365;1;17;5;12.28.2021;48845
366;2;17;2;2.26.2021;38051
367;1;3;4;11.8.2023;8036
368;3;4;4;8.28.2021;32176
369;2;10;3;11.1.2021;27382
370;2;11;6;4.5.2021;7997
371;1;20;4;3.25.2023;31957
372;2;2;9;2.8.2022;7513
373;2;2;3;5.9.2022;14183
374;1;16;1;1.23.2022;37659
375;3;9;5;5.18.2022;14016
376;1;23;2;5.23.2021;43437
377;3;19;5;6.13.2021;32675
378;3;7;7;11.26.2023;16832
379;2;18;1;2.15.2022;7359
380;2;16;3;2.4.2023;42793
381;2;17;7;12.21.2022;25215
382;2;7;3;9.14.2021;49117
383;2;4;8;2.21.2021;42070
384;3;14;7;12.13.2022;7306
385;3;20;8;10.1.2023;19554
386;3;16;6;5.5.2023;35578
387;3;2;6;2.17.2022;46475
388;2;23;7;7.9.2023;8401
389;2;10;3;5.29.2021;30386
390;2;11;1;4.15.2023;47502
391;2;18;4;5.8.2021;32217
392;1;9;2;12.17.2021;33055
393;3;11;4;11.7.2023;40971
394;2;19;5;2.5.2022;13691
395;3;3;5;8.13.2023;31456
396;2;23;9;2.10.2023;22330
397;2;21;6;6.10.2022;34169
398;1;2;9;12.8.2021;18466
399;3;9;8;8.20.2023;23838
400;1;4;2;12.16.2021;18692
401;3;18;1;11.7.2022;27223
402;2;23;9;4.4.2021;19567
403;3;7;4;4.25.2021;41460
404;3;15;6;8.25.2021;29347
405;3;16;5;9.1.2021;36723
406;3;1;10;7.15.2022;12438
407;2;5;1;11.16.2021;22298
408;3;1;2;12.10.2023;23151
409;3;10;8;4.27.2022;30956
410;1;20;3;8.4.2022;48794
411;1;8;5;4.19.2022;26509
412;1;2;6;4.28.2022;10017
413;2;23;7;2.21.2023;45789
414;1;18;7;4.13.2021;24984
415;2;21;1;6.13.2021;28174
416;1;16;1;7.17.2022;26038
417;3;22;11;1.19.2023;16479
418;1;2;11;1.8.2022;30607
419;1;4;2;5.14.2021;27257
420;3;18;7;6.6.2022;16934
421;2;18;10;4.15.2023;10493
422;1;4;10;3.13.2022;9609
423;3;5;10;8.20.2022;35524
424;3;3;5;9.1.2023;15765
425;3;3;2;11.3.2021;31507
426;3;18;4;1.25.2021;23810
427;3;17;9;6.1.2022;45807
428;3;15;8;6.13.2022;24474
429;1;12;10;10.15.2022;11345
430;3;15;4;12.15.2023;26130
431;1;14;3;6.22.2022;28592
432;2;2;4;8.17.2023;41870
433;1;18;11;4.4.2021;12586
434;2;4;2;8.27.2022;13454
435;1;20;2;5.29.2022;44370
436;2;19;2;7.9.2023;42670
437;3;20;1;8.30.2021;35016
438;2;15;2;3.23.2023;38194
439;3;20;1;6.11.2022;36387
440;3;11;6;4.18.2023;25835
441;2;8;9;4.16.2022;9784
442;1;11;9;11.4.2021;37183
443;1;2;5;6.16.2021;31341
444;2;6;6;12.1.2023;32315
445;3;16;5;1.22.2021;40859
446;1;14;1;9.27.2021;8245
447;3;2;1;11.9.2022;36086
448;2;6;7;7.20.2023;37671
449;3;8;6;5.31.2022;32715
450;2;2;3;9.16.2023;14629
451;2;2;3;2.3.2021;33836
452;3;17;9;7.28.2023;25082
453;3;15;1;8.9.2023;17192
454;2;22;6;10.5.2021;28876
455;3;11;6;1.4.2021;30791
456;3;1;11;8.28.2023;48985
457;2;13;6;12.29.2021;18200
458;3;1;1;1.1.2022;46462
459;3;20;8;3.26.2022;33486
460;1;8;5;8.25.2021;25985
461;1;5;7;5.10.2023;27049
462;1;22;6;7.18.2023;27195
463;3;17;1;3.27.2021;16419
464;2;1;2;1.14.2021;27769
465;2;5;7;3.22.2022;43070
466;2;19;4;12.13.2022;43977
467;2;15;7;9.3.2023;19446
468;2;6;8;2.9.2022;12795
469;1;18;9;9.16.2021;49703
470;2;16;1;9.27.2023;48034
471;3;17;9;10.4.2022;20447
472;2;20;4;10.22.2023;16886
473;1;12;10;12.8.2022;8360
474;2;2;7;7.31.2022;19165
475;1;10;3;6.26.2021;37974
476;1;21;9;3.5.2023;32992
477;1;18;2;8.4.2021;19198
478;2;16;8;6.30.2022;21431
479;1;1;11;1.10.2022;31706
480;1;21;2;4.6.2023;20724
481;1;6;6;12.3.2023;29021
482;2;7;8;1.2.2023;9289
483;1;17;4;3.15.2021;47929
484;2;19;4;4.22.2021;16703
485;2;16;3;10.4.2022;29335
486;1;4;11;6.10.2022;48829
487;3;16;10;12.11.2023;18336
488;2;6;6;1.3.2023;36474
489;3;17;8;11.14.2023;11214
490;2;9;8;4.26.2022;31736
491;3;13;11;7.18.2023;28490
492;2;18;7;10.17.2023;39297
493;3;23;9;10.4.2022;20545
494;1;2;4;3.31.2023;29842
495;1;14;9;3.4.2023;13858
496;3;14;11;6.24.2023;22022
497;1;17;2;3.22.2023;22665
498;1;13;11;3.22.2022;10798
499;2;17;9;3.9.2022;19155
500;2;17;10;9.19.2022;46262
501;3;18;2;8.27.2022;32784
502;3;16;7;5.8.2023;49077
503;3;3;8;5.4.2023;19662
504;2;7;5;5.24.2022;28412
505;1;23;7;12.12.2023;10946
506;3;1;10;1.7.2021;41175
507;1;11;6;4.6.2023;8013
508;2;16;8;1.4.2023;9510
509;3;20;6;11.4.2023;22048
510;2;11;11;12.17.2022;6994
511;3;10;5;1.24.2023;31548
512;1;13;8;5.24.2023;38392
513;2;4;6;1.4.2021;11825
514;2;22;6;2.25.2021;33026
515;2;11;2;6.24.2023;30678
516;2;11;4;6.5.2022;7867
517;2;16;3;3.22.2021;19830
518;3;4;6;5.14.2021;24694
519;3;7;11;7.29.2022;30304
520;2;3;2;4.3.2022;46670
521;1;9;4;6.3.2022;44958
522;2;13;8;11.3.2023;41833
523;3;19;7;8.22.2021;40492
524;2;20;9;2.26.2023;36582
525;2;23;3;4.24.2023;7569
526;2;13;2;1.12.2022;19539
527;2;1;6;5.22.2022;34453
528;1;12;7;1.5.2023;25604
529;2;8;8;1.31.2023;42661
530;3;4;8;6.15.2022;44072
531;2;19;10;1.26.2022;20375
532;3;22;5;2.15.2021;27880
533;3;5;5;11.26.2022;46858
534;2;19;7;10.4.2023;18710
535;2;22;10;5.13.2023;47881
536;2;17;5;9.10.2022;13535
537;1;17;6;3.22.2022;46493
538;2;17;5;3.15.2022;22433
539;3;20;4;7.3.2022;7267
540;2;17;2;1.26.2023;9742
541;1;3;5;3.30.2022;22696
542;2;1;9;2.18.2023;35044
543;2;19;11;8.29.2021;28962
544;3;14;1;11.14.2022;11311
545;3;12;9;7.14.2023;37570
546;1;9;8;7.18.2023;40755
547;2;13;5;4.22.2023;31965
548;3;2;8;12.9.2022;41942
549;3;7;3;5.27.2022;35019
550;2;8;2;5.8.2022;29631
551;3;9;9;2.28.2022;24222
552;1;12;5;9.28.2023;11134
553;1;9;8;11.14.2021;38281
554;3;1;7;11.25.2022;42440
555;3;23;3;11.18.2023;31355
556;2;11;3;2.21.2023;25825
557;2;15;10;11.25.2021;42002
558;2;19;2;7.11.2021;17004
559;3;16;5;1.24.2023;20435
560;1;23;11;3.3.2022;17999
561;3;6;2;6.29.2023;34266
562;3;14;11;12.13.2023;20103
563;3;12;10;1.24.2022;18763
564;3;17;3;4.28.2023;46632
565;2;16;5;3.6.2022;44763
566;3;18;5;6.15.2023;9637
567;3;1;3;9.7.2022;30071
568;2;19;6;4.25.2022;20324
569;3;5;2;10.24.2023;17335
570;3;11;11;7.25.2021;39708
571;2;19;5;9.24.2022;22097
572;2;23;2;8.5.2022;39722
573;3;21;7;9.21.2023;22559
574;2;17;8;6.1.2021;46643
575;3;20;9;12.10.2021;20007
576;1;6;7;11.12.2021;42234
577;2;6;10;11.21.2021;16280
578;2;18;4;6.30.2023;38691
579;1;23;8;3.5.2022;38048
580;2;20;9;12.2.2022;23120
581;1;13;11;4.16.2023;34136
582;1;12;9;12.25.2023;9042
583;2;15;4;8.5.2023;14371
584;1;2;5;1.18.2021;12714
585;1;3;1;11.28.2023;46411
586;2;1;4;1.9.2021;40209
587;2;21;7;3.27.2023;31063
588;1;23;9;6.1.2022;46695
589;3;5;3;1.16.2023;20730
590;3;14;4;12.4.2023;28818
591;2;9;2;12.29.2023;24322
592;1;10;9;2.1.2023;46605
593;1;6;5;3.18.2023;22042
594;3;22;5;11.28.2022;7813
595;2;13;11;12.5.2022;37224
596;3;10;5;11.17.2023;27403
597;3;21;1;12.15.2022;21804
598;3;19;5;7.18.2022;39758
599;3;15;3;12.3.2023;8655
600;3;22;7;7.4.2021;31186
601;3;6;2;4.24.2021;33460
602;1;14;9;2.24.2022;35280
603;1;22;1;9.6.2021;11710
604;2;6;6;6.25.2022;9406
605;2;19;2;5.27.2022;30718
606;2;11;2;6.24.2023;16449
607;1;11;6;8.23.2022;23084
608;3;9;2;12.31.2022;23239
609;2;14;9;3.16.2023;28544
610;2;5;6;7.3.2021;18276
611;3;9;4;3.10.2021;46472
612;2;18;6;11.22.2022;40533
613;3;1;1;9.11.2022;16341
614;1;9;10;7.30.2022;10747
615;2;5;11;8.3.2021;13640
616;3;7;10;1.21.2021;42368
617;2;15;4;9.28.2023;20342
618;2;16;8;9.27.2023;8935
619;1;4;2;7.15.2022;23195
620;3;3;1;7.5.2022;17254
621;3;23;8;3.4.2023;41848
622;3;9;8;1.31.2021;33111
623;1;3;10;7.17.2021;39459
624;1;11;7;3.16.2022;6882
625;3;17;4;3.16.2022;32334
626;1;11;4;6.29.2022;38861
627;2;6;8;4.17.2022;12575
628;1;14;9;9.11.2022;19355
629;2;19;4;6.15.2023;46355
630;2;5;10;1.15.2021;33831
631;3;16;2;2.9.2023;24973
632;2;21;8;3.5.2021;22068
633;3;21;6;6.23.2022;13630
634;2;16;11;9.8.2023;49537
635;3;16;6;6.8.2021;45144
636;1;19;10;12.19.2023;6839
637;1;18;6;11.5.2023;43273
638;2;13;4;3.17.2023;22452
639;2;15;6;1.8.2023;9117
640;2;22;9;8.11.2022;28847
641;1;7;4;12.23.2023;25975
642;2;2;2;4.27.2021;14116
643;3;5;4;4.13.2021;41763
644;3;5;11;2.28.2023;17287
645;1;9;4;3.28.2021;44987
646;3;3;11;11.7.2021;21051
647;1;17;10;6.22.2022;44724
648;1;8;9;4.20.2022;27648
649;3;23;7;5.10.2023;28998
650;1;7;3;2.1.2023;26314
651;3;11;1;5.31.2023;47470
652;3;8;9;9.1.2023;36860
653;1;7;11;5.20.2023;21592
654;1;18;10;6.9.2023;49143
655;3;18;3;6.11.2022;44436
656;3;13;6;7.15.2022;48305
657;3;23;9;8.15.2022;35115
658;3;5;4;4.8.2021;22804
659;2;19;9;6.14.2022;15578
660;2;20;5;12.8.2023;9870
661;1;21;2;4.3.2023;37861
662;2;12;2;3.7.2021;29286
663;2;22;5;8.13.2021;21554
664;2;14;10;12.4.2021;23305
665;1;21;1;5.28.2021;37712
666;2;3;4;8.24.2022;20570
667;2;11;9;4.27.2021;39898
668;3;3;4;4.28.2022;44294
669;2;11;6;9.26.2021;45993
670;2;4;2;6.15.2021;18954
671;1;19;10;2.25.2022;45876
672;2;1;7;9.17.2023;36296
673;2;8;7;7.19.2021;25946
674;2;16;6;10.1.2022;31634
675;2;5;11;10.8.2023;25454
676;2;8;7;1.30.2021;15668
677;3;4;5;8.2.2022;24023
678;3;6;2;8.12.2023;16735
679;1;20;1;6.15.2022;7319
680;3;6;2;5.20.2022;39799
681;3;16;4;6.17.2023;9349
682;1;20;10;3.7.2021;35120
683;3;7;11;12.11.2021;19988
684;1;4;4;7.26.2022;28539
685;1;23;7;4.20.2021;25766
686;3;2;11;1.15.2021;17833
687;2;15;1;6.25.2023;47643
688;3;21;8;1.10.2023;28559
689;2;3;2;7.8.2023;29678
690;1;14;10;7.24.2023;15305
691;2;7;2;11.6.2022;28105
692;2;16;11;1.2.2023;37610
693;3;22;7;1.30.2022;17884
694;3;9;9;12.29.2021;34550
695;2;5;8;9.18.2021;18541
696;2;16;6;12.7.2022;46730
697;3;21;7;12.11.2021;42329
698;1;9;1;1.12.2021;46255
699;1;15;10;7.4.2022;49878
700;2;22;5;8.26.2021;49666
701;1;20;11;2.27.2023;17438
702;2;23;1;11.29.2022;6788
703;3;10;5;2.25.2021;20739
704;1;17;7;8.26.2023;21761
705;2;23;2;8.18.2021;7550
706;1;5;7;4.27.2023;23519
707;1;20;9;5.10.2022;21337
708;2;12;1;3.22.2023;13216
709;2;12;10;11.6.2023;27365
710;1;18;11;4.12.2022;8241
711;2;4;1;4.30.2023;37559
712;2;3;1;5.27.2022;26025
713;3;10;4;9.7.2021;24502
714;3;11;4;4.7.2022;34838
715;2;8;6;9.9.2021;35515
716;1;20;9;8.31.2022;11550
717;3;12;7;1.11.2023;39226
718;1;17;4;8.2.2022;44221
719;2;23;3;7.27.2021;26177
720;3;14;10;1.3.2022;7563
721;3;1;5;9.29.2022;34056
722;2;4;8;7.21.2022;31265
723;2;13;5;9.14.2021;22569
724;3;13;7;7.30.2022;37623
725;2;9;1;6.1.2023;24710
726;3;9;5;11.12.2022;19897
727;2;15;6;8.11.2021;35120
728;2;9;1;11.10.2022;11823
729;1;12;10;2.12.2022;10486
730;3;22;1;6.10.2023;35583
731;3;6;7;1.2.2021;41579
732;3;10;4;7.3.2021;31549
733;1;5;5;8.8.2023;26113
734;3;9;7;1.6.2022;19285
735;1;5;8;12.5.2023;18879
736;3;4;9;8.7.2022;46062
737;1;22;11;3.30.2023;17627
738;3;17;3;9.28.2022;16848
739;1;12;5;12.3.2022;32678
740;2;17;3;6.17.2021;8906
741;2;21;8;9.21.2023;10729
742;1;11;7;1.7.2021;29920
743;3;4;6;2.17.2022;17852
744;2;18;3;9.5.2022;16773
745;2;21;11;9.19.2023;38642
746;3;6;8;8.8.2022;27095
747;1;8;8;7.15.2022;42630
748;1;2;5;11.27.2023;25072
749;1;20;4;6.11.2022;21304
750;1;15;9;4.7.2022;24028
751;3;20;10;2.15.2021;37607
752;1;8;8;3.19.2021;32210
753;2;3;7;6.11.2021;34969
754;3;20;9;1.21.2023;9146
755;1;18;7;4.1.2023;11533
756;2;7;3;12.22.2022;29487
757;3;11;8;11.14.2021;40856
758;3;18;6;4.4.2021;15036
759;3;4;7;12.12.2021;32717
760;2;23;8;12.5.2023;16089
761;1;22;5;3.26.2021;42959
762;3;5;9;4.8.2023;40387
763;2;13;11;5.1.2023;13082
764;3;18;6;7.20.2023;8326
765;3;9;7;10.9.2021;46769
766;2;11;10;2.2.2022;47432
767;2;12;2;5.17.2023;22219
768;2;17;11;6.30.2023;11552
769;3;12;11;7.5.2023;45343
770;1;5;5;10.3.2021;34816
771;3;21;5;5.1.2023;49206
772;1;4;9;5.9.2023;10218
773;2;14;4;7.10.2023;47889
774;3;6;3;8.6.2023;11119
